gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Female,1,Yes,Yes,28,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),40.55,3533.36
Male,0,Yes,Yes,48,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),86.51,5086.79
Male,0,No,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.53,4829.7
Female,1,Yes,No,41,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),85.85,1520.6
Male,1,No,Yes,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,83.29,900.18
Male,1,Yes,Yes,29,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),31.98,2232.89
Female,0,No,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),96.95,1935.71
Male,0,No,Yes,62,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,110.37,5924.0
Female,1,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),33.89,7097.21
Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.13,1054.43
Male,1,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,89.91,7028.93
Male,1,Yes,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),46.11,6170.28
Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),65.79,3467.26
Male,1,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,78.13,4480.17
Male,0,No,Yes,71,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.05,1094.84
Female,1,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),118.54,4099.19
Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),47.75,5128.95
Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.03,2536.24
Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),70.63,7510.97
Female,0,Yes,No,40,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,87.72,369.36
Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),118.16,4421.22
Female,1,Yes,No,36,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,85.71,286.61
Female,0,Yes,Yes,20,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,117.46,5713.07
Male,1,Yes,No,59,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,28.8,3065.37
Female,0,No,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.47,7039.18
Female,0,Yes,No,47,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,78.35,1566.51
Male,0,Yes,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),107.03,1609.52
Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,55.78,5413.09
Male,1,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),56.97,3700.1
Male,1,No,Yes,57,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,37.45,2572.77
Male,0,No,Yes,37,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),49.56,4740.5
Male,1,No,Yes,12,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,31.59,5837.58
Male,0,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.06,7034.22
Male,0,Yes,Yes,31,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,94.13,1282.57
Male,1,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,20.73,5469.5
Female,1,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.97,3453.05
Male,1,Yes,Yes,32,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,115.99,1506.16
Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,66.4,3402.47
Female,0,Yes,No,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),93.18,1695.69
Female,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,101.49,2811.41
Female,1,No,Yes,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,83.18,3271.36
Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,116.84,4916.22
Female,1,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),77.3,6008.67
Male,1,No,Yes,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),107.3,5473.88
Male,1,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,52.05,3189.81
Male,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),54.1,865.47
Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.72,3699.8
Male,1,No,Yes,57,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,47.53,2990.16
Female,1,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,23.37,5159.97
Male,0,No,Yes,59,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,101.82,1607.01
Female,1,No,Yes,63,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),46.83,7465.41
Male,0,Yes,No,65,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,108.64,2800.37
Female,1,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,70.68,7900.49
Male,0,No,No,7,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),114.91,7929.4
Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,63.16,5639.0
Female,1,No,Yes,42,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,43.83,5106.97
Female,1,No,No,60,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,18.51,3667.4
Male,0,No,Yes,36,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,83.48,1049.88
Male,1,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),80.78,7646.25
Male,1,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,119.66,4414.44
Male,1,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,119.57,7917.61
Female,0,No,No,53,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),110.14,5640.76
Male,1,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,94.9,6100.18
Female,0,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),100.0,6200.92
Female,1,No,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,96.7,944.05
Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.09,1023.9
Male,0,Yes,No,15,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),45.0,3813.09
Female,1,Yes,Yes,14,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),22.41,5752.94
Female,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.95,5710.59
Male,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,62.18,1407.28
Female,0,Yes,Yes,64,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),28.58,3167.22
Male,0,No,Yes,52,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),50.64,7848.15
Male,0,Yes,Yes,21,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),96.92,4202.77
Female,0,Yes,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.91,426.58
Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,80.22,1364.74
Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,79.36,7302.46
Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,76.79,214.92
Female,0,No,No,6,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,113.01,1609.22
Female,1,Yes,Yes,56,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,68.84,1308.06
Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.83,1260.16
Male,0,No,No,61,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,65.9,1145.12
Male,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,7992.16
Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.38,4533.35
Male,1,No,Yes,15,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),71.88,4462.46
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),89.01,3041.27
Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,65.09,4735.86
Male,0,Yes,Yes,63,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),28.7,6310.39
Female,1,Yes,No,9,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),109.35,1021.49
Male,1,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,51.42,4285.18
Female,1,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.68,5794.81
Female,1,No,Yes,48,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,92.09,5622.99
Female,0,No,No,66,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),45.32,6668.04
Male,1,Yes,Yes,60,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),91.19,1572.52
Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),88.61,931.77
Female,1,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,92.49,247.97
Female,1,No,Yes,58,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,116.36,2948.12
Female,0,Yes,Yes,17,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,101.02,6667.48
Male,0,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),117.28,1269.66
Female,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,74.37,645.77
Female,0,Yes,Yes,70,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,19.12,1450.14
Female,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.79,1650.22
Male,1,No,Yes,67,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,68.77,1955.9
Male,0,Yes,No,7,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),118.65,4546.98
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),19.6,5342.86
Male,1,Yes,Yes,20,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,110.36,2330.38
Female,0,No,No,40,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,98.81,7447.96
Female,1,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,74.92,6704.01
Male,1,No,No,13,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),105.86,179.1
Male,1,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,44.39,4811.36
Male,1,Yes,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.12,4195.11
Female,1,No,Yes,61,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,92.69,1862.84
Male,0,Yes,Yes,56,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),52.58,6280.87
Male,1,Yes,No,32,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.99,1024.58
Female,1,Yes,Yes,22,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),28.85,4777.95
Male,0,No,No,27,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,62.96,2817.99
Male,1,No,No,48,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.93,1734.43
Female,0,No,No,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),67.06,3816.77
Female,0,No,No,46,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,86.54,474.51
Male,1,Yes,No,35,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),97.86,5558.57
Male,1,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.31,998.18
Female,1,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,93.23,101.68
Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,118.45,6027.74
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),32.05,3670.98
Female,1,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),83.82,2912.12
Female,1,No,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.86,3717.52
Male,0,No,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,39.5,1977.54
Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.94,2085.52
Female,1,No,No,26,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,71.3,3762.0
Male,0,No,Yes,12,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,112.9,2874.15
Male,0,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,99.85,4004.19
Male,1,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,91.35,367.74
Male,1,Yes,No,2,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,37.51,3410.65
Female,1,Yes,Yes,13,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,53.23,2181.72
Female,0,Yes,Yes,40,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.7,3815.2
Male,0,No,No,56,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.67,3180.26
Male,1,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,21.75,6979.84
Male,1,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,43.86,7918.26
Female,1,Yes,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),108.72,885.46
Male,0,No,No,53,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,40.52,5394.57
Female,0,No,Yes,66,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,77.11,3598.24
Female,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.17,2643.04
Female,1,No,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),116.05,1222.05
Female,0,Yes,No,7,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,71.34,6812.88
Male,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),55.54,6874.35
Male,0,No,Yes,15,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),79.88,15.49
Male,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,74.92,7329.31
Male,1,No,Yes,16,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),41.7,5578.95
Male,1,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.77,3718.78
Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,44.11,4664.16
Male,1,Yes,No,4,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),98.87,5250.37
Male,1,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,116.2,2213.27
Female,0,Yes,Yes,39,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.92,47.68
Male,0,Yes,Yes,42,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),112.25,5095.09
Male,0,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.49,2929.68
Female,0,Yes,Yes,46,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,87.97,7680.25
Male,0,Yes,No,33,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.06,5311.57
Female,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,88.66,5660.52
Male,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,100.56,6537.21
Female,0,No,Yes,48,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,75.77,2355.82
Male,1,No,No,1,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,82.9,1555.18
Female,1,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,115.32,6468.51
Male,1,No,No,16,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,81.17,5702.02
Male,0,Yes,No,68,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.24,2432.35
Male,0,No,No,13,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,68.95,4559.16
Male,1,No,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,56.7,6072.6
Female,1,Yes,Yes,20,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.3,396.13
Male,0,Yes,Yes,35,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,64.28,5643.43
Male,1,No,Yes,19,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),84.11,7935.13
Male,0,Yes,No,16,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,21.13,432.83
